date,prcp,tobs
2012-03-20,0.017142857142857144,67.42857142857143
2012-03-21,0.11,68.66666666666667
2012-03-22,0.14333333333333334,70.66666666666667
2012-03-23,0.012857142857142857,70.14285714285714
2012-03-24,0.04,72.0
2012-03-25,0.37833333333333335,70.83333333333333
2012-03-26,0.11166666666666668,70.83333333333333
2012-03-27,0.13428571428571429,66.85714285714286
2012-03-28,0.032857142857142856,68.0
2012-03-29,0.0,68.28571428571429
2012-03-30,0.002857142857142857,70.85714285714286
2012-03-31,0.0,72.66666666666667
2012-04-01,0.006666666666666667,73.5
2012-04-02,0.0,69.5
2012-04-03,0.0,69.71428571428571
2012-04-04,0.015,70.25
2012-04-05,0.1688888888888889,71.33333333333333
2012-04-06,0.014285714285714287,71.71428571428571
2012-04-07,0.36000000000000004,72.66666666666667
2012-04-08,0.006666666666666667,73.16666666666667
2012-04-09,0.6366666666666667,68.66666666666667
2012-04-10,0.32625000000000004,66.5
2012-04-11,0.29875,69.875
2012-04-12,0.0825,70.875
2012-04-13,0.05375,67.75
2012-04-14,0.002857142857142857,72.14285714285714
2012-04-15,0.054285714285714284,71.71428571428571
2012-04-16,0.03142857142857143,72.28571428571429
2012-04-17,0.00125,72.375
2012-04-18,0.0014285714285714286,71.85714285714286
2012-04-19,0.004285714285714286,71.71428571428571
2012-04-20,0.011428571428571429,69.85714285714286
2012-04-21,0.006,73.4
2012-04-22,0.088,68.6
2012-04-23,0.3285714285714286,69.71428571428571
2012-04-24,0.032857142857142856,70.14285714285714
2012-04-25,0.06142857142857143,69.14285714285714
2012-04-26,0.09428571428571429,71.42857142857143
2012-04-27,0.12571428571428572,69.0
2012-04-28,0.12833333333333333,75.0
2012-04-29,0.03333333333333333,73.0
2012-04-30,0.028333333333333332,73.0
2012-05-01,0.008333333333333333,71.5
2012-05-02,0.14833333333333332,70.5
2012-05-03,0.08333333333333333,71.33333333333333
2012-05-04,0.21857142857142858,71.0
2012-05-05,0.22333333333333336,73.16666666666667
2012-05-06,0.028333333333333335,73.5
2012-05-07,0.10833333333333334,71.0
2012-05-08,0.005714285714285714,72.71428571428571
2012-05-09,0.008333333333333333,71.16666666666667
2012-05-10,0.0,71.5
2012-05-11,0.047142857142857146,72.28571428571429
2012-05-12,0.0016666666666666668,74.66666666666667
2012-05-13,0.0,72.16666666666667
2012-05-14,0.0,71.28571428571429
2012-05-15,0.0,68.42857142857143
2012-05-16,0.0071428571428571435,71.14285714285714
2012-05-17,0.011666666666666667,73.0
2012-05-18,0.05714285714285714,73.57142857142857
2012-05-19,0.02666666666666667,74.66666666666667
2012-05-20,0.008333333333333333,75.16666666666667
2012-05-21,0.075,72.5
2012-05-22,0.0,73.42857142857143
2012-05-23,0.0,74.0
2012-05-24,0.025714285714285714,74.57142857142857
2012-05-25,0.04375,74.375
2012-05-26,0.08333333333333333,74.16666666666667
2012-05-27,0.12000000000000001,75.33333333333333
2012-05-28,0.049999999999999996,75.28571428571429
2012-05-29,0.005,73.66666666666667
2012-05-30,0.002857142857142857,73.0
2012-05-31,0.12428571428571429,71.57142857142857
2012-06-01,0.0575,72.875
2012-06-02,0.06166666666666667,74.0
2012-06-03,0.0,75.33333333333333
2012-06-04,0.0033333333333333335,73.5
2012-06-05,0.0,73.0
2012-06-06,0.16333333333333333,73.0
2012-06-07,0.03166666666666667,73.5
2012-06-08,0.051666666666666666,74.66666666666667
2012-06-09,0.0,74.4
2012-06-10,0.013333333333333334,76.33333333333333
2012-06-11,0.03833333333333333,74.0
2012-06-12,0.055,75.5
2012-06-13,0.09142857142857143,73.71428571428571
2012-06-14,0.10714285714285714,75.14285714285714
2012-06-15,0.0,73.0
2012-06-16,0.0,75.0
2012-06-17,0.023333333333333334,77.16666666666667
2012-06-18,0.0,74.16666666666667
2012-06-19,0.09714285714285716,72.71428571428571
2012-06-20,0.3757142857142857,72.0
2012-06-21,0.0875,74.375
2012-06-22,0.0071428571428571435,73.85714285714286
2012-06-23,0.295,73.83333333333333
2012-06-24,0.25666666666666665,73.66666666666667
2012-06-25,0.24714285714285714,72.14285714285714
2012-06-26,0.24714285714285714,71.85714285714286
2012-06-27,0.25142857142857145,71.71428571428571
2012-06-28,0.0475,73.875
2012-06-29,0.16625,74.25
2012-06-30,0.005,77.5
2012-07-01,0.03833333333333334,76.33333333333333
2012-07-02,0.047142857142857146,74.42857142857143
2012-07-03,0.2871428571428572,72.71428571428571
2012-07-04,0.24000000000000002,74.42857142857143
2012-07-05,0.21142857142857144,74.71428571428571
2012-07-06,0.2057142857142857,75.0
2012-07-07,0.2233333333333333,74.5
2012-07-08,0.01,76.71428571428571
2012-07-09,0.0033333333333333335,73.66666666666667
2012-07-10,0.024285714285714282,73.57142857142857
2012-07-11,0.052500000000000005,74.25
2012-07-12,0.0025,72.625
2012-07-13,0.13125,75.125
2012-07-14,0.08,77.42857142857143
2012-07-15,0.03,76.71428571428571
2012-07-16,0.18,74.28571428571429
2012-07-17,0.14375,75.5
2012-07-18,0.1742857142857143,76.0
2012-07-19,0.11714285714285715,73.85714285714286
2012-07-20,0.12888888888888891,73.11111111111111
2012-07-21,0.08142857142857143,75.57142857142857
2012-07-22,0.06375,74.875
2012-07-23,0.06333333333333334,76.22222222222223
2012-07-24,0.025555555555555557,75.88888888888889
2012-07-25,0.05375,76.5
2012-07-26,0.005714285714285714,76.14285714285714
2012-07-27,0.04857142857142858,74.57142857142857
2012-07-28,0.23,75.57142857142857
2012-07-29,0.47714285714285715,73.42857142857143
2012-07-30,0.08428571428571428,75.71428571428571
2012-07-31,0.10375,75.375
2012-08-01,0.0071428571428571435,75.85714285714286
2012-08-02,0.0,73.5
2012-08-03,0.012857142857142857,74.57142857142857
2012-08-04,0.013333333333333334,76.33333333333333
2012-08-05,0.12833333333333333,76.5
2012-08-06,0.09857142857142856,73.14285714285714
2012-08-07,0.04666666666666667,74.33333333333333
2012-08-08,0.08666666666666667,74.0
2012-08-09,0.03833333333333334,74.66666666666667
2012-08-10,0.005,72.66666666666667
2012-08-11,0.09666666666666668,73.33333333333333
2012-08-12,0.06333333333333334,76.16666666666667
2012-08-13,0.016666666666666666,76.0
2012-08-14,0.08,74.0
2012-08-15,0.0071428571428571435,75.57142857142857
2012-08-16,0.004285714285714286,76.42857142857143
2012-08-17,0.03428571428571429,74.42857142857143
2012-08-18,0.10333333333333335,77.33333333333333
2012-08-19,0.03,75.66666666666667
2012-08-20,0.06833333333333334,74.5
2012-08-21,0.06714285714285714,73.85714285714286
2012-08-22,0.1442857142857143,73.57142857142857
2012-08-23,0.028571428571428574,74.85714285714286
2012-08-24,0.07714285714285715,74.71428571428571
2012-08-25,0.0,77.16666666666667
2012-08-26,0.006,78.6
2012-08-27,0.018,74.0
2012-08-28,0.47285714285714286,74.28571428571429
2012-08-29,0.19285714285714287,74.42857142857143
2012-08-30,0.14714285714285716,75.28571428571429
2012-08-31,0.047142857142857146,74.57142857142857
2012-09-01,0.021428571428571432,76.28571428571429
2012-09-02,0.15166666666666667,74.83333333333333
2012-09-03,0.06833333333333334,76.16666666666667
2012-09-04,0.012857142857142857,75.0
2012-09-05,0.10571428571428572,73.71428571428571
2012-09-06,0.06571428571428571,75.57142857142857
2012-09-07,0.23285714285714285,75.0
2012-09-08,0.49499999999999994,75.33333333333333
2012-09-09,0.49166666666666664,74.33333333333333
2012-09-10,0.10833333333333332,74.83333333333333
2012-09-11,0.07714285714285715,74.28571428571429
